commit,fixed_model,labelled_rows,fast_rows,slow_rows,seen_train_rows,seen_test_rows,unseen_train_rows,unseen_test_rows,seen_f1,seen_roc_auc,seen_accuracy,unseen_f1,unseen_roc_auc,unseen_accuracy
1a537e0,Logistic Regression,320,213,107,252,68,265,55,0.375,0.5958498023715415,0.7058823529411765,0.42105263157894735,0.717687074829932,0.8
061f0ff,Logistic Regression,320,213,107,251,69,269,51,0.4,0.6294896030245747,0.6956521739130435,0.5333333333333333,0.7703703703703704,0.8627450980392157
018ac87,Logistic Regression,374,249,125,296,78,301,73,0.34285714285714286,0.5064150943396226,0.7051282051282052,0.32,0.6536796536796536,0.7671232876712328
