commit,raw_rows,labelled_rows,fast_rows,slow_rows,unseen_best_model,unseen_f1,unseen_roc_auc,unseen_accuracy,seen_best_model,seen_f1,seen_roc_auc,seen_accuracy
1a537e0,425,320,213,107,XGBoost,0.17647058823529413,0.54421768707483,0.4909090909090909,Random Forest,0.5,0.6862648221343873,0.6764705882352942
061f0ff,425,320,213,107,XGBoost,0.20689655172413793,0.5148148148148148,0.5490196078431373,XGBoost,0.4444444444444444,0.6701323251417769,0.6376811594202898
018ac87,498,374,249,125,XGBoost,0.17391304347826086,0.4567099567099567,0.4794520547945205,Random Forest,0.391304347826087,0.64,0.6410256410256411
