commit,status,full_labelled_rows,matched_rows,matched_fast_rows,matched_slow_rows,matched_seen_train_rows,matched_seen_test_rows,matched_unseen_train_rows,matched_unseen_test_rows,matched_global_seen_best_model,matched_global_seen_f1,matched_global_seen_roc_auc,matched_global_seen_accuracy,matched_global_unseen_best_model,matched_global_unseen_f1,matched_global_unseen_roc_auc,matched_global_unseen_accuracy,tree_rows,tree_seen_train_rows,tree_seen_test_rows,tree_unseen_train_rows,tree_unseen_test_rows,tree_global_seen_f1,tree_global_seen_roc_auc,tree_global_unseen_f1,tree_global_unseen_roc_auc,sql_global_seen_f1,sql_global_seen_roc_auc,sql_global_unseen_f1,sql_global_unseen_roc_auc
1a537e0,ok,320,211,196,15,165,46,156,55,Logistic Regression,0.5,0.7209302325581395,0.9565217391304348,Logistic Regression,0.36363636363636365,0.7517006802721088,0.8727272727272727,211,163,45,156,55,0.8,0.9523809523809524,0.46153846153846156,0.9251700680272109,0.6666666666666666,0.9444444444444444,0.42857142857142855,0.9319727891156463
061f0ff,ok,320,210,194,16,164,46,159,51,Logistic Regression,0.5,0.8333333333333333,0.9130434782608695,Logistic Regression,0.3333333333333333,0.7518518518518519,0.8431372549019608,210,162,45,159,51,0.6666666666666666,1.0,0.5454545454545454,0.9259259259259259,0.8571428571428571,0.9939024390243902,0.5454545454545454,0.937037037037037
018ac87,ok,374,244,231,13,192,52,171,73,Random Forest,0.0,0.7448979591836735,0.9423076923076923,Logistic Regression,0.3333333333333333,0.7575757575757576,0.8904109589041096,244,190,51,171,73,0.8571428571428571,1.0,0.5,0.8917748917748918,1.0,1.0,0.46153846153846156,0.9090909090909091
