commit,status,full_labelled_rows,target_rows,downsampled_rows,downsampled_fast_rows,downsampled_slow_rows,full_seen_best_model,full_seen_f1,full_seen_roc_auc,full_seen_accuracy,full_unseen_best_model,full_unseen_f1,full_unseen_roc_auc,full_unseen_accuracy,downsampled_seen_best_model,downsampled_seen_f1,downsampled_seen_roc_auc,downsampled_seen_accuracy,downsampled_unseen_best_model,downsampled_unseen_f1,downsampled_unseen_roc_auc,downsampled_unseen_accuracy,downsampled_seen_train_rows,downsampled_seen_test_rows,downsampled_unseen_train_rows,downsampled_unseen_test_rows,tree_rows,tree_seen_f1,tree_seen_roc_auc,tree_unseen_f1,tree_unseen_roc_auc
1a537e0,ok,320,211,211,140,71,Random Forest,0.5,0.6862648221343873,0.6764705882352942,XGBoost,0.17647058823529413,0.54421768707483,0.4909090909090909,Random Forest,0.5185185185185185,0.6473214285714285,0.717391304347826,Random Forest,0.19047619047619047,0.46484375,0.5277777777777778,165,46,175,36,211,0.8,0.9523809523809524,0.46153846153846156,0.9251700680272109
061f0ff,ok,320,210,210,140,70,XGBoost,0.4444444444444444,0.6701323251417769,0.6376811594202898,XGBoost,0.20689655172413793,0.5148148148148148,0.5490196078431373,Random Forest,0.4,0.5629370629370629,0.6086956521739131,Gradient Boosting,0.2222222222222222,0.5916666666666667,0.5882352941176471,164,46,176,34,210,0.6666666666666666,1.0,0.5454545454545454,0.9259259259259259
018ac87,ok,374,244,244,162,82,Random Forest,0.391304347826087,0.64,0.6410256410256411,XGBoost,0.17391304347826086,0.4567099567099567,0.4794520547945205,XGBoost,0.27586206896551724,0.4982638888888889,0.5961538461538461,XGBoost,0.14814814814814814,0.5023255813953489,0.5208333333333334,192,52,196,48,244,0.8571428571428571,1.0,0.5,0.8917748917748918
